customer_id,customer_type,customer_name,company_name,pan_number,cin_number,date_of_birth,registration_status,pep_status,transaction_id,transaction_amount,transaction_date,sender_country,receiver_country,transaction_type,transaction_purpose,transaction_frequency,monthly_avg_amount,aml_risk,true_label
CUST10010,Individual,James Smith,,PXtOA1567Z,,07-05-1990,,No,TXN20010,223595,06-09-2025,United Kingdom,Italy,NEFT,Rent Payment,Regular,160695,Medium,Medium
CUST10011,Business,,"Green, Vincent and Cantrell",,CIN450777,,Active,No,TXN20011,6030,30-10-2025,India,Saudi Arabia,SWIFT,Export Settlement,Occasional,572168,Medium,Low
CUST10012,Business,,"Reynolds, Cooper and Trevino",,CIN323671,,Active,No,TXN20012,385627,01-07-2025,Venezuela,Mexico,RTGS,Invoice Settlement,Occasional,1028832,Medium,High
CUST10013,Individual,Aaron Myers,,PvnVD6847o,,07-06-2007,,No,TXN20013,321472,13-12-2025,India,Norway,UPI,Personal Transfer,Irregular,294798,Low,High
CUST10014,Business,,Irwin-Mcintosh,,CIN430155,,Inactive,No,TXN20014,57401,24-11-2025,Singapore,South Korea,NEFT,Salary Disbursement,Occasional,746031,Low,Low
CUST10015,Business,,Lopez Ltd,,CIN687065,,Active,No,TXN20015,1425024,22-03-2025,Nigeria,Switzerland,UPI,Export Settlement,Regular,1417245,Medium,High
CUST10016,Business,,Rogers Group,,CIN211182,,Inactive,No,TXN20016,297879,22-03-2025,India,South Korea,SWIFT,Invoice Settlement,Regular,604614,Medium,Medium
CUST10017,Business,,Smith and Sons,,CIN897285,,Active,No,TXN20017,49758,20-07-2025,United Arab Emirates,Somalia,RTGS,Export Settlement,Regular,517934,Medium,Low
CUST10018,Individual,Jonathan Beck,,zpCOL9642u,,22-07-1981,,No,TXN20018,291002,23-02-2025,Iran,Australia,RTGS,Education,Irregular,63353,Medium,Medium
CUST10019,Individual,Emma Taylor,,qhMwj8864j,,29-07-1963,,No,TXN20019,77111,30-09-2025,Canada,Austria,NEFT,Education,Regular,214564,Medium,Low
CUST10020,Individual,Rodney Nelson,,snIcG3144Z,,28-06-1969,,Yes,TXN20020,77649,18-01-2026,United Kingdom,Thailand,SWIFT,Rent Payment,Irregular,299628,High,Low
CUST10021,Individual,Madison Stewart,,JKPPA4833B,,15-07-1997,,No,TXN20021,389214,23-09-2025,Myanmar,Turkey,RTGS,Rent Payment,Irregular,165674,High,High
CUST10022,Individual,Taylor Crane,,PqSjn1558b,,30-11-1967,,No,TXN20022,96733,01-03-2025,Australia,UK,RTGS,Medical,Irregular,96219,Medium,Low
CUST10023,Business,,Martin Group,,CIN637812,,Active,No,TXN20023,170245,28-04-2025,Australia,Japan,UPI,Salary Disbursement,Occasional,1264160,Medium,Medium
CUST10024,Business,,"Moreno, Jimenez and Hill",,CIN640453,,Inactive,No,TXN20024,376951,26-11-2025,Canada,Germany,NEFT,Invoice Settlement,Occasional,727104,High,High
CUST10025,Business,,Patel-Quinn,,CIN997044,,Inactive,No,TXN20025,19667,09-12-2025,Pakistan,UK,RTGS,Tax Payment,Occasional,659310,Low,Low
CUST10026,Individual,Guy Bird,,rnMUs2959B,,18-09-1973,,No,TXN20026,376168,01-12-2025,Pakistan,USA,RTGS,Travel Expense,Irregular,173784,High,High
CUST10027,Business,,"Smith, Bass and Ramirez",,CIN245740,,Active,No,TXN20027,437110,01-02-2025,Singapore,Belgium,SWIFT,Vendor Payment,Occasional,1159165,High,High
CUST10028,Individual,Eric Estrada,,wSyjf9875R,,29-01-1994,,No,TXN20028,115468,23-12-2025,India,USA,SWIFT,Personal Transfer,Regular,246380,Medium,Medium
CUST10029,Individual,Antonio Jones,,LCYWG0921D,,07-12-2004,,No,TXN20029,341816,27-10-2025,United Arab Emirates,UK,UPI,Personal Transfer,Irregular,123539,High,High
CUST10030,Business,,"Powell, Bradley and Evans",,CIN722198,,Active,Yes,TXN20030,129719,08-12-2025,Myanmar,Peru,SWIFT,Vendor Payment,Regular,848957,Medium,Medium
CUST10031,Individual,Brian Foster,,ITzGR1239t,,29-02-1960,,No,TXN20031,225376,11-08-2025,United States,South Korea,RTGS,Personal Transfer,Irregular,33592,High,Medium
CUST10032,Individual,Caleb Carter,,WPDbD8577K,,11-11-1964,,No,TXN20032,465626,01-01-2026,United States,Somalia,SWIFT,Medical,Regular,176368,High,High
CUST10033,Business,,"Peck, Stewart and Buckley",,CIN132554,,Active,No,TXN20033,1178727,24-04-2025,United States,Belgium,NEFT,Import Payment,Occasional,839069,High,High
CUST10034,Individual,George Cannon,,vGiUY3650D,,17-07-2001,,No,TXN20034,273861,20-03-2025,India,Vietnam,NEFT,Education,Regular,74878,Medium,Medium
CUST10035,Business,,"Preston, Estes and Gilmore",,CIN798677,,Inactive,No,TXN20035,1570585,20-05-2025,United States,UK,RTGS,Invoice Settlement,Regular,1017162,High,High
CUST10036,Individual,Mary Marquez,,aDaAy3283F,,02-02-1995,,No,TXN20036,144256,31-01-2026,Pakistan,Pakistan,UPI,Personal Transfer,Regular,189742,Medium,Medium
CUST10037,Individual,Ryan Perez,,qpEcI2737a,,31-07-1957,,No,TXN20037,1535100,13-04-2025,Yemen,Switzerland,NEFT,Rent Payment,Irregular,234407,High,High
CUST10038,Business,,Wilson-Garcia,,CIN785456,,Inactive,No,TXN20038,1878765,24-12-2025,United Arab Emirates,Singapore,RTGS,Salary Disbursement,Regular,572800,High,High
CUST10039,Individual,Kenneth Noble,,hSVEq5790C,,17-03-1995,,No,TXN20039,116674,15-01-2026,Syria,Singapore,RTGS,Travel Expense,Regular,152930,Medium,Medium
CUST10040,Individual,Johnathan Owens,,MIEgM6012u,,25-09-1982,,No,TXN20040,82645,29-03-2025,India,Norway,NEFT,Rent Payment,Regular,64382,Low,Low
CUST10041,Business,,"Watson, Davis and Webb",,CIN945643,,Inactive,Yes,TXN20041,284836,10-01-2026,Syria,Norway,UPI,Import Payment,Occasional,1436688,Medium,Medium
CUST10042,Business,,Rivera-Clay,,CIN279205,,Inactive,No,TXN20042,12984,17-07-2025,Iran,South Africa,UPI,Import Payment,Regular,1477613,Medium,Low
CUST10043,Individual,Jon Smith,,BfCRk7582g,,14-07-1975,,No,TXN20043,211629,05-05-2025,Iraq,New Zealand,UPI,Family Support,Irregular,93027,High,Medium
CUST10044,Individual,David Ramirez,,jsNPO1805C,,16-09-1999,,No,TXN20044,382094,30-09-2025,Germany,Iraq,UPI,Personal Transfer,Irregular,240179,High,High
CUST10045,Individual,Jessica Bailey,,KpyBU7139f,,30-09-2003,,No,TXN20045,276708,21-10-2025,Australia,India,NEFT,Family Support,Regular,183635,High,Medium
CUST10046,Individual,Jacob Wright,,rsRwp4306u,,11-10-2004,,No,TXN20046,409634,01-08-2025,United States,Japan,RTGS,Personal Transfer,Irregular,262755,High,High
CUST10047,Business,,Hunter Group,,CIN932766,,Inactive,No,TXN20047,9140,24-06-2025,India,Spain,RTGS,Export Settlement,Occasional,508418,Low,Low
CUST10048,Business,,Jackson-Anderson,,CIN849567,,Active,No,TXN20048,441231,30-03-2025,Singapore,Saudi Arabia,UPI,Vendor Payment,Regular,1290010,High,High
CUST10049,Business,,"Fields, Gregory and Carroll",,CIN408729,,Active,No,TXN20049,127026,05-08-2025,Germany,USA,UPI,Tax Payment,Regular,1281026,Medium,Medium
CUST10050,Individual,Catherine Hernandez,,NsbWa5276D,,04-02-2006,,No,TXN20050,384772,24-07-2025,Germany,India,RTGS,Personal Transfer,Irregular,123741,High,High
CUST10051,Business,,"Fisher, Morrison and Gallagher",,CIN360835,,Inactive,No,TXN20051,189241,04-10-2025,Yemen,Germany,NEFT,Export Settlement,Occasional,1229071,Medium,Medium
CUST10052,Business,,Howell-Robinson,,CIN840340,,Inactive,No,TXN20052,269213,15-11-2025,Yemen,South Sudan,SWIFT,Tax Payment,Regular,608451,High,Medium
CUST10053,Individual,Vanessa Townsend,,EbCPv8166x,,23-06-1965,,No,TXN20053,362705,03-11-2025,United Kingdom,Switzerland,NEFT,Travel Expense,Irregular,67208,High,High
CUST10054,Business,,"Diaz, Wright and Preston",,CIN691418,,Active,No,TXN20054,158083,08-05-2025,Pakistan,Switzerland,UPI,Salary Disbursement,Occasional,1067214,High,Medium
CUST10055,Business,,"Wood, Gray and Conner",,CIN741864,,Active,No,TXN20055,410701,20-02-2025,United Arab Emirates,Venezuela,SWIFT,Import Payment,Occasional,1415262,High,High
CUST10056,Business,,Lopez-Reyes,,CIN149160,,Inactive,No,TXN20056,1458203,23-11-2025,India,UK,RTGS,Salary Disbursement,Occasional,614640,High,High
CUST10057,Individual,Gregory Ellison,,mQcbG7360i,,26-02-1968,,No,TXN20057,423946,01-08-2025,India,USA,SWIFT,Travel Expense,Regular,102402,High,High
CUST10058,Individual,Jeffrey Thompson,,bdQtR7488E,,03-05-1989,,No,TXN20058,235166,26-07-2025,United Kingdom,New Zealand,NEFT,Personal Transfer,Irregular,115071,High,Medium
CUST10059,Individual,Donald Parker,,pOHmQ4881N,,15-12-1966,,No,TXN20059,2111451,26-05-2025,India,South Korea,NEFT,Education,Irregular,225849,Medium,High
CUST10060,Business,,"Sullivan, Johnson and Meyer",,CIN667627,,Active,No,TXN20060,313817,04-01-2026,Australia,Spain,SWIFT,Export Settlement,Regular,1229384,Low,High
CUST10061,Business,,"Smith, Li and Jones",,CIN800100,,Inactive,No,TXN20061,1569084,02-01-2026,Iraq,Germany,UPI,Salary Disbursement,Occasional,582592,High,High
CUST10062,Business,,"Wallace, Mann and Jones",,CIN183717,,Inactive,No,TXN20062,206136,05-09-2025,United Kingdom,Japan,RTGS,Vendor Payment,Regular,809381,Low,Medium
CUST10063,Individual,Michelle Reid,,zSUbF9486O,,04-10-2002,,No,TXN20063,104943,08-08-2025,United States,Vietnam,UPI,Personal Transfer,Irregular,271727,Medium,Medium
CUST10064,Individual,Jim Sanchez,,hEoXC0472C,,30-10-1992,,No,TXN20064,359683,02-06-2025,Australia,Netherlands,SWIFT,Family Support,Irregular,22372,High,High
CUST10065,Individual,Edwin Mitchell,,xnHmb0837i,,13-11-1970,,No,TXN20065,117712,09-09-2025,United States,Denmark,RTGS,Travel Expense,Irregular,245413,Medium,Medium
CUST10066,Individual,Stephanie Bryant,,tmNfV9731t,,31-07-1987,,No,TXN20066,203817,20-08-2025,Australia,Singapore,UPI,Education,Regular,60727,Low,Medium
CUST10067,Individual,Anthony Knight,,rTLMs4103c,,02-11-1991,,No,TXN20067,279664,21-09-2025,Pakistan,Myanmar,SWIFT,Family Support,Irregular,201647,High,Medium
CUST10068,Individual,Sarah Larson,,LvwWs2981r,,22-02-1964,,No,TXN20068,57279,05-05-2025,Singapore,USA,RTGS,Medical,Irregular,214753,Low,Low
CUST10069,Individual,Wendy Tran,,XSMiu1048a,,15-06-1955,,No,TXN20069,176492,21-02-2025,Iraq,New Zealand,UPI,Travel Expense,Irregular,92599,Medium,Medium
CUST10070,Individual,Wendy Stevens,,adxGi9105f,,02-03-1996,,No,TXN20070,416061,07-08-2025,Syria,Sudan,SWIFT,Personal Transfer,Irregular,169506,High,High
CUST10071,Business,,Rich PLC,,CIN620540,,Active,No,TXN20071,273298,03-11-2025,United States,UAE,NEFT,Export Settlement,Occasional,1273507,Medium,Medium
CUST10072,Business,,"Olson, Williams and Willis",,CIN106703,,Active,No,TXN20072,109175,12-03-2025,Australia,Canada,UPI,Salary Disbursement,Occasional,790900,Low,Medium
CUST10073,Individual,Todd Brock,,VmFJB1657e,,03-10-1957,,No,TXN20073,438020,10-01-2026,Singapore,Peru,NEFT,Education,Irregular,32538,Medium,High
CUST10074,Business,,Richards Ltd,,CIN373541,,Inactive,No,TXN20074,297677,12-06-2025,Venezuela,Iraq,SWIFT,Salary Disbursement,Occasional,1428718,High,Medium
CUST10075,Business,,"Washington, Horne and Thornton",,CIN813937,,Active,No,TXN20075,1111377,20-06-2025,Syria,Canada,RTGS,Export Settlement,Regular,593732,High,High
CUST10076,Business,,"Howell, Gilmore and Nelson",,CIN764353,,Inactive,No,TXN20076,239243,30-09-2025,United Arab Emirates,Norway,NEFT,Export Settlement,Regular,681938,Medium,Medium
CUST10077,Individual,Priscilla Jones,,yjsce7190T,,08-10-1975,,No,TXN20077,1981997,29-06-2025,Singapore,South Korea,SWIFT,Personal Transfer,Irregular,61346,Medium,High
CUST10078,Business,,"Duncan, Owen and Mitchell",,CIN240888,,Active,No,TXN20078,1056638,25-04-2025,Canada,Saudi Arabia,SWIFT,Invoice Settlement,Occasional,1036846,Medium,High
CUST10079,Individual,Jennifer Mclaughlin,,OhAfi6740x,,01-03-1975,,No,TXN20079,112393,18-02-2025,Nigeria,South Korea,SWIFT,Family Support,Irregular,128191,Medium,Medium
CUST10080,Individual,Savannah Norton,,UHZlZ8057O,,10-11-1958,,No,TXN20080,371344,29-11-2025,Canada,Brazil,SWIFT,Medical,Irregular,80057,High,High
CUST10081,Individual,Jesse Leblanc,,Gzltw6401I,,13-10-1969,,No,TXN20081,347453,12-10-2025,Pakistan,Qatar,NEFT,Education,Regular,291029,Medium,High
CUST10082,Business,,Rodriguez Group,,CIN478299,,Inactive,No,TXN20082,329068,26-12-2025,Turkey,Japan,RTGS,Export Settlement,Occasional,826688,Medium,High
CUST10083,Business,,Hayes-Sampson,,CIN744453,,Inactive,No,TXN20083,448999,08-07-2025,Germany,Switzerland,UPI,Salary Disbursement,Regular,540151,High,High
CUST10084,Individual,Valerie Meza,,cpxkn8064J,,07-08-1977,,No,TXN20084,267657,30-11-2025,United Kingdom,USA,UPI,Medical,Regular,196037,Low,Medium
CUST10085,Business,,Macdonald and Sons,,CIN993340,,Active,No,TXN20085,4700,22-02-2025,Australia,Italy,UPI,Salary Disbursement,Occasional,1234332,Low,Low
CUST10086,Business,,"Baker, Campbell and Allen",,CIN732197,,Inactive,No,TXN20086,414530,17-03-2025,United States,Netherlands,NEFT,Vendor Payment,Regular,1455160,High,High
CUST10087,Individual,Dr. Christopher Anderson,,QDakw7006L,,01-05-1984,,No,TXN20087,221070,01-08-2025,Pakistan,India,SWIFT,Family Support,Regular,118053,Medium,Medium
CUST10088,Business,,"Ibarra, Clayton and Cooper",,CIN111716,,Inactive,No,TXN20088,59705,28-06-2025,United States,Indonesia,RTGS,Salary Disbursement,Occasional,973340,Low,Low
CUST10089,Business,,Rios-Ramirez,,CIN711597,,Active,No,TXN20089,257786,05-04-2025,Germany,Canada,SWIFT,Vendor Payment,Regular,720110,Low,Medium
CUST10090,Individual,Chad Black,,elDhv4233q,,13-02-1956,,No,TXN20090,68892,14-05-2025,United States,Denmark,UPI,Rent Payment,Regular,255489,Low,Low
CUST10091,Business,,Doyle Inc,,CIN602016,,Active,No,TXN20091,315976,19-12-2025,Singapore,Spain,SWIFT,Export Settlement,Occasional,840343,Medium,High
CUST10092,Individual,Thomas Jones,,TNQYP1247a,,04-01-1965,,No,TXN20092,32622,18-04-2025,Australia,Germany,UPI,Family Support,Irregular,202819,Medium,Low
CUST10093,Individual,Raven Morris,,ZzXPi6272h,,04-04-1965,,No,TXN20093,1125745,26-07-2025,United Kingdom,Vietnam,SWIFT,Personal Transfer,Irregular,200891,High,High
CUST10094,Business,,Lopez Ltd,,CIN734189,,Active,Yes,TXN20094,2457482,14-02-2025,United Kingdom,Italy,RTGS,Salary Disbursement,Occasional,1113356,High,High
CUST10095,Individual,Michelle Gonzalez,,tiQGh1473a,,17-12-1999,,No,TXN20095,428750,22-08-2025,Canada,Italy,SWIFT,Medical,Irregular,45206,Medium,High
CUST10096,Individual,Kevin Hall,,INilO9217p,,20-03-2007,,No,TXN20096,423711,04-02-2025,United Kingdom,South Korea,RTGS,Personal Transfer,Regular,202932,Medium,High
CUST10097,Business,,Smith Ltd,,CIN586262,,Inactive,No,TXN20097,224338,27-05-2025,Iraq,UK,UPI,Export Settlement,Regular,1422597,Medium,Medium
CUST10098,Individual,Natasha Petersen,,VnHzV6997Q,,02-01-2006,,No,TXN20098,307159,31-07-2025,Iran,UK,RTGS,Education,Irregular,256165,Low,High
CUST10099,Business,,"Malone, Brady and Clarke",,CIN961618,,Active,No,TXN20099,129544,19-03-2025,Germany,Spain,UPI,Vendor Payment,Regular,769474,Medium,Medium
CUST10100,Individual,Erik Hogan,,ydmwb6665h,,25-03-1974,,No,TXN20100,466673,13-08-2025,Venezuela,South Korea,UPI,Family Support,Irregular,180826,High,High
CUST10101,Individual,Lisa Mills,,wUpfP0211t,,02-02-1968,,No,TXN20101,255640,02-12-2025,Germany,Mexico,RTGS,Medical,Regular,150798,Medium,Medium
CUST10102,Individual,Jacqueline Rodriguez,,abgQr2501a,,05-03-1959,,No,TXN20102,52892,19-07-2025,United Arab Emirates,Singapore,SWIFT,Education,Irregular,181234,Medium,Low
CUST10103,Individual,Calvin Jackson,,CKXcC1094N,,21-05-1991,,No,TXN20103,144375,14-05-2025,India,Netherlands,UPI,Education,Irregular,68135,Medium,Medium
CUST10104,Individual,Karen Foster,,mBwhu3205D,,03-01-2004,,No,TXN20104,454337,19-04-2025,Venezuela,Belgium,UPI,Medical,Irregular,187461,High,High
CUST10105,Individual,Samantha Dalton,,MOViM5383m,,06-08-2005,,No,TXN20105,438210,13-08-2025,Canada,USA,NEFT,Personal Transfer,Irregular,36791,High,High
CUST10106,Business,,Snow-Smith,,CIN962000,,Inactive,No,TXN20106,69701,23-06-2025,Singapore,Turkey,NEFT,Tax Payment,Occasional,783666,Low,Low
CUST10107,Business,,"Wolfe, Fitzgerald and Willis",,CIN528714,,Inactive,No,TXN20107,386420,21-09-2025,Iraq,Pakistan,RTGS,Import Payment,Regular,1112699,High,High
CUST10108,Business,,Poole and Sons,,CIN578275,,Active,Yes,TXN20108,236969,04-10-2025,United Arab Emirates,Nigeria,SWIFT,Invoice Settlement,Occasional,1108130,High,High
CUST10109,Business,,Johnson-Clark,,CIN168080,,Active,No,TXN20109,484078,21-07-2025,Germany,Somalia,UPI,Salary Disbursement,Occasional,1077419,High,High
CUST10110,Business,,Gonzales and Sons,,CIN444977,,Inactive,No,TXN20110,491688,14-07-2025,India,Italy,NEFT,Import Payment,Occasional,1170073,High,High
CUST10111,Individual,Ashley Gibbs,,vkjEI5634b,,27-10-1985,,No,TXN20111,289442,07-08-2025,Turkey,Netherlands,SWIFT,Personal Transfer,Irregular,21545,Medium,Medium
CUST10112,Individual,Andrew Moore DVM,,VLrmq3016E,,12-03-2003,,No,TXN20112,392047,14-10-2025,United Kingdom,New Zealand,RTGS,Medical,Irregular,45815,Medium,High
CUST10113,Individual,Danielle Monroe,,LIAYj6109B,,27-12-1965,,No,TXN20113,2439461,09-05-2025,Myanmar,India,NEFT,Family Support,Regular,74608,High,High
CUST10114,Individual,Richard Baker,,bTPAZ3738A,,12-09-2007,,No,TXN20114,7448,20-01-2026,Turkey,Peru,SWIFT,Personal Transfer,Irregular,196055,Low,Low
CUST10115,Individual,Danielle Barrett,,ggrpP1796q,,07-04-1970,,No,TXN20115,311335,10-08-2025,Iran,South Sudan,RTGS,Rent Payment,Irregular,230928,High,High
CUST10116,Business,,Little Group,,CIN848953,,Active,No,TXN20116,419758,18-07-2025,Australia,Thailand,NEFT,Export Settlement,Regular,894834,Medium,High
CUST10117,Business,,Cordova Inc,,CIN567996,,Active,No,TXN20117,133765,17-12-2025,United Kingdom,Vietnam,UPI,Vendor Payment,Regular,599240,Low,Medium
CUST10118,Individual,Alyssa Christian,,qwFpK3298E,,17-09-1984,,No,TXN20118,1558298,20-08-2025,Canada,Netherlands,SWIFT,Personal Transfer,Regular,263354,High,High
CUST10119,Individual,Jordan Montgomery,,qymCv9800G,,14-03-1976,,No,TXN20119,425406,18-12-2025,Australia,Switzerland,SWIFT,Travel Expense,Regular,50090,Medium,High
CUST10120,Individual,Valerie Spence,,FcFLK8686P,,19-01-2000,,No,TXN20120,280380,05-05-2025,Germany,Iraq,UPI,Medical,Regular,76149,High,Medium
CUST10121,Individual,Shannon Graham,,ktNMl2971N,,23-06-1992,,No,TXN20121,241253,31-01-2026,India,Australia,SWIFT,Travel Expense,Irregular,133833,Medium,Medium
CUST10122,Business,,Howell-Stevens,,CIN829193,,Inactive,No,TXN20122,107827,16-06-2025,Myanmar,Venezuela,UPI,Export Settlement,Occasional,722486,High,Medium
CUST10123,Individual,Vickie Mcconnell,,XWiIz8710Z,,24-11-1991,,No,TXN20123,394075,14-03-2025,India,UK,SWIFT,Education,Regular,172315,High,High
CUST10124,Individual,Jennifer Parks,,OTUGM5367O,,25-08-1966,,No,TXN20124,1915097,31-05-2025,Iraq,Egypt,RTGS,Family Support,Regular,279438,High,High
CUST10125,Individual,Joseph Kirk,,idLvZ4974I,,18-09-1991,,No,TXN20125,425996,03-12-2025,United States,Switzerland,SWIFT,Medical,Regular,285796,Medium,High
CUST10126,Individual,Jennifer Martinez,,FFKhq1284O,,06-10-1967,,No,TXN20126,49038,20-11-2025,Canada,Nigeria,RTGS,Travel Expense,Regular,252796,Low,Low
CUST10127,Individual,Julie Lynn,,jyPbS6876g,,16-10-2004,,Yes,TXN20127,308224,05-01-2026,United States,Kuwait,UPI,Family Support,Irregular,102245,Medium,High
CUST10128,Business,,Huffman Group,,CIN548722,,Active,No,TXN20128,12732,17-01-2026,Pakistan,Vietnam,RTGS,Salary Disbursement,Occasional,601204,Low,Low
CUST10129,Business,,Perez-James,,CIN755231,,Inactive,No,TXN20129,38862,11-05-2025,United Arab Emirates,Colombia,SWIFT,Tax Payment,Occasional,1143512,Low,Low
CUST10130,Individual,Jeffery Martinez,,WfCBo1047g,,30-07-1996,,No,TXN20130,54820,05-05-2025,Germany,Denmark,RTGS,Medical,Irregular,247331,Low,Low
CUST10131,Individual,Christopher Baird,,nvkCP5639X,,11-12-1979,,No,TXN20131,78524,26-04-2025,Yemen,Singapore,RTGS,Education,Regular,93071,Low,Low
CUST10132,Individual,Erik Crawford,,SqPQv3994t,,17-01-1986,,No,TXN20132,414520,19-12-2025,Iran,Colombia,UPI,Family Support,Irregular,257644,Medium,High
CUST10133,Individual,Alex Blankenship,,kyRZo7766b,,23-09-1956,,No,TXN20133,112408,07-05-2025,Venezuela,Austria,UPI,Medical,Irregular,70537,Medium,Medium
CUST10134,Business,,Harris-Torres,,CIN311000,,Inactive,Yes,TXN20134,2439397,03-09-2025,United Arab Emirates,Denmark,SWIFT,Tax Payment,Regular,589206,High,High
CUST10135,Individual,Lisa Butler,,AoaRr8558l,,24-02-2000,,No,TXN20135,68501,13-11-2025,Iraq,South Korea,RTGS,Medical,Irregular,150380,Medium,Low
CUST10136,Individual,Michael Gonzalez,,xflpi6948H,,07-06-1999,,No,TXN20136,313951,11-07-2025,Singapore,UK,NEFT,Rent Payment,Irregular,42996,Medium,High
CUST10137,Individual,Jared Clarke,,kUZWf9271Q,,16-07-1975,,No,TXN20137,1450237,09-05-2025,India,Netherlands,SWIFT,Personal Transfer,Irregular,138283,High,High
CUST10138,Business,,Caldwell-Martin,,CIN152140,,Inactive,No,TXN20138,386168,15-11-2025,Iraq,Haiti,SWIFT,Export Settlement,Occasional,928277,High,High
CUST10139,Individual,Martin Grant,,xnyhT5050k,,24-08-1959,,No,TXN20139,26779,12-12-2025,Singapore,France,SWIFT,Personal Transfer,Regular,30935,Low,Low
CUST10140,Individual,Carol Lane,,Hucww8724d,,25-07-1965,,No,TXN20140,95815,10-01-2026,Australia,New Zealand,RTGS,Personal Transfer,Regular,262756,Low,Low
CUST10141,Individual,Daniel Rivera,,HwbyM9304K,,08-06-1999,,No,TXN20141,256804,31-01-2026,United Arab Emirates,Qatar,UPI,Travel Expense,Regular,22331,High,Medium
CUST10142,Individual,Roger Duran,,xqjax6618D,,02-01-1985,,No,TXN20142,137218,18-12-2025,Germany,North Korea,RTGS,Rent Payment,Irregular,103215,High,High
CUST10143,Individual,Pamela Williamson,,cImfr1085j,,29-09-1984,,No,TXN20143,453961,27-01-2026,Iraq,Brazil,UPI,Rent Payment,Irregular,244431,High,High
CUST10144,Individual,Jesus Luna,,sNPHR7903Y,,15-12-1978,,Yes,TXN20144,320471,16-03-2025,United Kingdom,Austria,UPI,Rent Payment,Regular,58584,Medium,High
CUST10145,Business,,Bradford PLC,,CIN772305,,Active,No,TXN20145,114797,05-12-2025,Venezuela,Austria,SWIFT,Invoice Settlement,Regular,804500,Medium,Medium
CUST10146,Individual,Melanie Prince,,aovvD1915X,,19-08-1992,,No,TXN20146,190021,06-10-2025,United States,Syria,NEFT,Family Support,Irregular,172126,High,High
CUST10147,Business,,Williams Ltd,,CIN865102,,Inactive,No,TXN20147,267697,12-09-2025,United Arab Emirates,Somalia,UPI,Export Settlement,Regular,1484024,High,High
CUST10148,Individual,Kim Gamble DDS,,aXRax1450x,,02-09-1970,,No,TXN20148,496616,16-02-2025,Australia,Syria,RTGS,Family Support,Irregular,39852,High,High
CUST10149,Business,,Dominguez-Kelley,,CIN506236,,Active,No,TXN20149,93925,21-06-2025,Yemen,Afghanistan,SWIFT,Import Payment,Regular,1159634,Low,Low
CUST10150,Individual,Maria Green,,HGzQc8468T,,06-11-1988,,No,TXN20150,126025,08-11-2025,Iran,Denmark,NEFT,Rent Payment,Regular,270433,Medium,Medium
CUST10151,Business,,"Martinez, Stevens and Olson",,CIN729017,,Active,No,TXN20151,1568042,16-07-2025,United Arab Emirates,UK,RTGS,Export Settlement,Regular,1453877,High,High
CUST10152,Individual,Martin Bradshaw,,iHans6676S,,05-03-1973,,No,TXN20152,189986,20-02-2025,Iran,Germany,UPI,Medical,Irregular,248244,Medium,Medium
CUST10153,Individual,Jason Nunez,,MbtHy2199q,,18-02-1980,,No,TXN20153,403841,13-03-2025,United States,Saudi Arabia,RTGS,Family Support,Irregular,273930,High,High
